,Entretien
70,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
71,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
72,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE
73,INSTALLER - PNEU PNEU ROUE
74,INSTALLER - BATTERIE
75,INSTALLER - COLLECTEUR (Manifold)
76,RÉPARER - FILAGE ÉLECTRIQUE
77,INSTALLER - POMPE À EAU
78,RÉPARER - CODE DÉFAUT MOTEUR (Fault code)
79,INSTALLER - BOULON ET GOUJON
80,RÉPARER - BRAS D'ESSUIE-GLACE
81,RÉPARER - POMPE À INJECTION
82,RÉPARER - POMPE À EAU
83,NETTOYER / LAVER - PNEU JANTE (Rim) ROUE
84,INSTALLER - DISQUES
85,INSTALLER - FILAGE ÉLECTRIQUE
86,MODIFIER - FILAGE ÉLECTRIQUE
87,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
88,INSTALLER - CHASSIS PIÈCE CARROSSERIE
89,INSPECTER VISUELLEMENT - AMORTISSEUR
90,INSTALLER - PNEU PNEU ROUE
91,INSTALLER - PNEU PNEU ROUE
92,INSTALLER - CHANGEMENT D'HUILE,INSTALLER - DISQUES
93,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
94,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
95,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
96,INSTALLER - PNEU PNEU ROUE
97,INSTALLER - PNEU PNEU ROUE
98,VÉRIFIER - TAMBOURS,RÉPARER - FILAGE ÉLECTRIQUE
99,INSTALLER - AMORTISSEUR,INSTALLER - PLAQUETTES
100,VÉRIFIER - MISE AU POINT (Tune -up),INSTALLER - SILENCIEUX,INSTALLER - CARBURANT+ FILTRE,INSTALLER - AMORTISSEUR
101,INSTALLER - BRAS DE RENVOI
102,MODIFIER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
103,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE
104,RÉPARER - ALTERNATEUR
105,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - PNEU JOINT D'ESSIEU ROUE
106,RÉPARER - CHAUFFAGE CONTRÔLE SYSTÈME DE CLIMATISATION
107,INSTALLER - PNEU PNEU ROUE
108,AJUSTER - CARBURANT+ FILTRE
109,INSTALLER - CARBURANT+ FILTRE,INSTALLER - CARBURANT+ FILTRE,INSTALLER - BRAS DE RENVOI,INSPECTER VISUELLEMENT - ALTERNATEUR,INSPECTER VISUELLEMENT - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE
110,AJUSTER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
111,INSTALLER - SABOTS
112,INSTALLER - MISE AU POINT (Tune -up)
113,RÉPARER - CHAUFFAGE RADIATEUR DE CHAUFFERETTE SYSTÈME DE CLIMATISATION
114,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
115,RÉPARER - CODE DÉFAUT MOTEUR (Fault code)
116,RÉPARER - BIELLE DE DIRECTION
117,RÉPARER - PLAQUETTES
118,INSPECTER VISUELLEMENT - COMPOSANTE MAJEURE DU MOTEUR
119,INSPECTER VISUELLEMENT - BATTERIE
120,RECHERCHER PANNE (diagnostic) - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT,ESSAI  ROUTIER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
121,RÉPARER - COMPOSANTE MAJEURE DU MOTEUR
122,INSPECTER VISUELLEMENT - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE,INSPECTER VISUELLEMENT - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE
123,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
124,REMPLACER - FILAGE ÉLECTRIQUE,VÉRIFIER - BATTERIE,AJUSTER - SABOTS
125,RÉPARER - CODE DÉFAUT MOTEUR (Fault code)
126,NETTOYER / LAVER - ÉTRIERS,RÉPARER - ESSUIE-GLACE
127,NETTOYER / LAVER - ÉTRIERS
128,AJUSTER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
129,INSPECTER VISUELLEMENT - BATTERIE
130,RÉPARER - AJUSTEMENT D'USAGE,INSPECTER VISUELLEMENT - CODE DÉFAUT MOTEUR (Fault code)
131,RÉPARER - INSTRUMENT TABLEAU DE BORD (Gauge dash)
132,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
133,RÉPARER - RÉPARATION,RÉPARER - SYSTÈME DE VITRE ÉLECTRIQUE,RÉPARER - TAMBOURS,ESSAI  ROUTIER - INSPECTION À L'INTERNE,RÉPARER - CHASSIS PIÈCE CARROSSERIE,INSTALLER - PLAQUETTES
134,RÉPARER - CHASSIS PIÈCE CARROSSERIE
135,INSTALLER - PLAQUETTES,ESSAI  ROUTIER - ÉTRIERS
136,INSPECTER VISUELLEMENT - MISE AU POINT (Tune -up)
137,INSTALLER - PNEU PNEU ROUE
138,INSTALLER - GYROPHARE
139,SOUDER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
140,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
141,VÉRIFIER - VANAIR,INSTALLER - LUMIÈRE DE JOUR (Day running light)
142,RÉPARER - FILAGE ÉLECTRIQUE
143,INSTALLER - AJUSTEMENT D'USAGE,RÉPARER - LUMIÈRE DE JOUR (Day running light),INSTALLER - ESSUIE-GLACE,INSTALLER - GYROPHARE
144,INSTALLER - PNEU PNEU ROUE
145,RÉPARER - BRAS D'ESSUIE-GLACE
146,INSTALLER - ESSUIE-GLACE
147,INSTALLER - CYLINDRE DE FREIN,RÉPARER - GARDE-BOUE,INSTALLER - CYLINDRE DE FREIN,INSTALLER - COLLET
148,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
149,ESSAI  ROUTIER - INSPECTION À L'INTERNE,VÉRIFIER - ALTERNATEUR,INSTALLER - MISE AU POINT (Tune -up),INSTALLER - ÉTRIERS,VÉRIFIER - FABRIQUE SYSTÈME ÉLECTRIQUE,VÉRIFIER - BATTERIE,INSTALLER - FLÈCHE SIGNALÉTIQUE,INSTALLER - COLLET,VÉRIFIER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE,RÉPARER - CHASSIS PIÈCE CARROSSERIE
150,RÉPARER - BRAS D'ESSUIE-GLACE
151,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
152,RÉPARER - LUMIÈRE DE JOUR (Day running light)
153,INSTALLER - PNEU PNEU ROUE
154,RÉPARER - LUMIÈRE DE JOUR (Day running light),VÉRIFIER - BATTERIE
155,INSTALLER - AJUSTEMENT D'USAGE
156,INSTALLER - CHASSIS PIÈCE CARROSSERIE
157,INSTALLER - BATTERIE
158,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
159,INSTALLER - BATTERIE
160,INSPECTER VISUELLEMENT - CHASSIS INSPECTION VISUEL CARROSSERIE
161,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
162,INSTALLER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
163,INSPECTER VISUELLEMENT - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE,INSTALLER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
164,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - PELLE (Pépine)
165,RÉPARER - FILAGE ÉLECTRIQUE
166,INSTALLER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
167,RÉPARER - CHAUFFAGE RADIATEUR DE CHAUFFERETTE SYSTÈME DE CLIMATISATION
168,INSTALLER - CHASSIS PIÈCE CARROSSERIE
169,RÉPARER - CODE DÉFAUT MOTEUR (Fault code),INSPECTER VISUELLEMENT - CODE DÉFAUT MOTEUR (Fault code)
170,NETTOYER / LAVER - ESPAR
171,INSTALLER - MISE AU POINT (Tune -up)
172,RÉPARER - BRAS D'ESSUIE-GLACE
173,RÉPARER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE,INSTALLER - RÉFLECTEUR,REMPLACER - SABOTS
174,INSTALLER - SYSTÈME D'ALARME
175,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
176,RÉPARER - CODE DÉFAUT MOTEUR (Fault code),REMPLACER - THERMOSTAT,RÉPARER - FILAGE ÉLECTRIQUE,REMPLACER - BATTERIE,REMPLACER - TENSIONNEUR
177,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
178,RÉPARER - FLÈCHE SIGNALÉTIQUE
179,RÉPARER - FILAGE ÉLECTRIQUE
180,INSTALLER - CYLINDRE DE FREIN,RÉPARER - JET DE LAVE-VITRE,INSTALLER - BRAS D'ESSUIE-GLACE,INSTALLER - CHASSIS PIÈCE CARROSSERIE
181,NETTOYER / LAVER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
182,INSTALLER - ESSUIE-GLACE
183,RÉPARER - BRAS D'ESSUIE-GLACE
184,RÉPARER - GYROPHARE
185,RÉPARER - JET DE LAVE-VITRE
186,INSTALLER - DÉMARREUR
187,RÉPARER - VANAIR
188,RÉPARER - JET DE LAVE-VITRE
189,INSTALLER - PNEU PNEU ROUE
190,RÉPARER - VANAIR
191,RÉPARER - LUMIÈRE DE JOUR (Day running light)
192,INSTALLER - DÉMARREUR
193,REMPLACER - POMPE À EAU
194,RÉPARER - SYSTÈME DE CAMÉRA
195,AJUSTER - ESSUIE-GLACE,INSTALLER - POMPE À SERVO-DIRECTION,INSTALLER - POMPE À EAU,RÉPARER - SYSTÈME D'ALARME,RÉPARER - ALTERNATEUR,INSTALLER - THERMOSTAT,INSPECTER VISUELLEMENT - COMPOSANTE MAJEURE DU MOTEUR
196,RÉPARER - CODE DÉFAUT MOTEUR (Fault code)
197,REMPLACER - FILAGE ÉLECTRIQUE
198,RÉPARER - ESSUIE-GLACE,INSPECTER VISUELLEMENT - INSPECTION À L'INTERNE
199,VÉRIFIER - RÉFLECTEUR,MODIFIER - PNEU PNEU ROUE
200,INSTALLER - CHAUFFAGE FILTRE A/C SYSTÈME DE CLIMATISATION
201,REMPLACER - TENSIONNEUR
202,REMPLACER - FLÈCHE SIGNALÉTIQUE
203,RÉPARER - ALTERNATEUR
204,INSPECTER VISUELLEMENT - CAPTEUR
205,RÉPARER - FILAGE ÉLECTRIQUE
206,RÉPARER - FILAGE ÉLECTRIQUE
207,REMPLACER - AMORTISSEUR,INSPECTER VISUELLEMENT - CHAISE DE SUSPENSION
208,RÉPARER - ESSUIE-GLACE
209,REMPLACER - PNEU MOYEU (Hud de roue) ROUE
210,REMPLACER - TENSIONNEUR
211,REMPLACER - TENSIONNEUR,REMPLACER - TRANSMISSION BOYAUX BOÎTE DE TRANSFERT,REMPLACER - CARBURANT+ FILTRE,INSPECTER VISUELLEMENT - POMPE À SERVO-DIRECTION,REMPLACER - MISE AU POINT (Tune -up)
212,REMPLACER - LUMIÈRE DE JOUR (Day running light)
213,REMPLACER - ESSUIE-GLACE
214,REMPLACER - SYSTÈME D'ALARME
215,REMPLACER - PLAQUETTES
216,REMPLACER - PNEU PNEU ROUE,REMPLACER - DISQUES,ESSAI  ROUTIER - AJUSTEMENT D'USAGE
217,INSTALLER - GARDE-BOUE,MODIFIER - TUYAUX
218,RÉPARER - LAMES,REMPLACER - AMORTISSEUR,REMPLACER - BATTERIE
219,REMPLACER - TRANSMISSION BOYAUX BOÎTE DE TRANSFERT,REMPLACER - MIROIR CHAUFFANT,REMPLACER - PNEU PNEU ROUE,REMPLACER - MISE AU POINT (Tune -up),REMPLACER - TENSIONNEUR,REMPLACER - PLAQUETTES
220,RÉPARER - AJUSTEMENT D'USAGE
221,INSTALLER - AJUSTEMENT D'USAGE,REMPLACER - CHASSIS PIÈCE CARROSSERIE,MODIFIER - BRAS D'ESSUIE-GLACE,INSTALLER - PNEU PNEU ROUE
222,REMPLACER - GYROPHARE,INSTALLER - PNEU PNEU ROUE,REMPLACER - ESSUIE-GLACE,REMPLACER - COLLET
223,REMPLACER - PNEU PNEU ROUE,RÉPARER - FLÈCHE SIGNALÉTIQUE,RÉPARER - AJUSTEMENT D'USAGE
224,REMPLACER - PNEU PNEU ROUE,REMPLACER - COLLET
225,REMPLACER - PNEU PNEU ROUE
226,REMPLACER - PNEU PNEU ROUE
227,INSTALLER - PNEU PNEU ROUE
228,REMPLACER - PNEU PNEU ROUE
229,REMPLACER - PNEU PNEU ROUE
230,INSTALLER - PNEU PNEU ROUE
231,REMPLACER - PNEU PNEU ROUE
232,REMPLACER - PNEU PNEU ROUE
233,REMPLACER - PNEU PNEU ROUE
234,REMPLACER - PNEU PNEU ROUE
235,REMPLACER - PNEU PNEU ROUE
236,INSTALLER - PNEU PNEU ROUE
237,INSTALLER - PNEU PNEU ROUE
238,REMPLACER - PNEU PNEU ROUE
239,REMPLACER - PNEU PNEU ROUE
240,INSTALLER - PNEU PNEU ROUE
241,REMPLACER - PNEU PNEU ROUE
242,REMPLACER - PNEU PNEU ROUE
243,REMPLACER - PNEU PNEU ROUE
244,INSTALLER - PNEU PNEU ROUE
245,REMPLACER - PNEU PNEU ROUE
246,REMPLACER - PNEU PNEU ROUE
247,REMPLACER - PNEU PNEU ROUE
248,REMPLACER - PNEU PNEU ROUE
249,REMPLACER - PNEU PNEU ROUE
250,REMPLACER - PNEU PNEU ROUE
251,REMPLACER - PNEU PNEU ROUE
252,REMPLACER - PNEU PNEU ROUE
253,INSTALLER - PNEU PNEU ROUE
254,INSTALLER - PNEU PNEU ROUE
255,INSTALLER - PNEU PNEU ROUE
256,REMPLACER - PNEU PNEU ROUE
257,INSTALLER - PNEU PNEU ROUE
258,REMPLACER - PNEU PNEU ROUE
259,INSTALLER - PNEU PNEU ROUE
260,INSTALLER - PNEU PNEU ROUE
261,INSTALLER - PNEU PNEU ROUE
262,INSTALLER - PNEU PNEU ROUE
263,INSTALLER - PNEU PNEU ROUE
264,REMPLACER - PNEU PNEU ROUE
265,REMPLACER - CHASSIS PIÈCE CARROSSERIE
266,REMPLACER - PNEU PNEU ROUE
267,REMPLACER - PNEU PNEU ROUE
268,REMPLACER - PNEU PNEU ROUE
269,REMPLACER - PNEU PNEU ROUE
270,REMPLACER - PNEU PNEU ROUE
271,RÉPARER - PNEU PNEU ROUE
272,REMPLACER - PNEU PNEU ROUE
273,REMPLACER - PNEU PNEU ROUE
274,REMPLACER - PNEU PNEU ROUE
275,RÉPARER - GYROPHARE
276,INSPECTER VISUELLEMENT - DIFFÉRENTIEL SERVO-BLOCAGE (Power divide
277,VÉRIFIER - ALTERNATEUR
278,REMPLACER - PNEU PNEU ROUE
279,REMPLACER - PNEU PNEU ROUE
280,REMPLACER - PNEU PNEU ROUE
281,REMPLACER - ESSUIE-GLACE
282,REMPLACER - GYROPHARE
283,VÉRIFIER - COMPOSANTE MAJEURE DU MOTEUR
284,REMPLACER - GYROPHARE
285,RÉPARER - FILAGE ÉLECTRIQUE
286,ESSAI  ROUTIER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
287,RÉPARER - ALTERNATEUR
288,REMPLACER - BATTERIE
289,REMPLACER - CHAUFFAGE RADIATEUR DE CHAUFFERETTE SYSTÈME DE CLIMATISATION
290,INSPECTER VISUELLEMENT - RESSORT HÉLICOÏDAL (Coil spring)
291,REMPLACER - FILAGE ÉLECTRIQUE
292,REMPLACER - LUMIÈRE DE JOUR (Day running light)
293,RÉPARER - INSTRUMENT TABLEAU DE BORD (Gauge dash)
294,AJUSTER - SYSTÈME D'ALARME
295,REMPLACER - COLONNE DE DIRECTION
296,INSPECTER VISUELLEMENT - COMPOSANTE MAJEURE DU MOTEUR
297,REMPLACER - BATTERIE
298,RÉPARER - SYSTÈME D'ALLUMAGE
299,REMPLACER - CHASSIS PIÈCE CARROSSERIE
300,REMPLACER - FILAGE ÉLECTRIQUE
301,REMPLACER - SYSTÈME DE KLAXON
302,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
303,REMPLACER - PNEU PNEU ROUE
304,RÉPARER - ALTERNATEUR
305,VÉRIFIER - CATALYSEUR
306,VÉRIFIER - LUMIÈRE DE JOUR (Day running light)
307,REMPLACER - CHASSIS PIÈCE CARROSSERIE
308,INSPECTER VISUELLEMENT - DISQUES
309,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
310,REMPLACER - FLÈCHE SIGNALÉTIQUE
311,REMPLACER - GYROPHARE,NETTOYER / LAVER - LUBRIFICATION
312,REMPLACER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE
313,REMPLACER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE
314,REMPLACER - FLÈCHE SIGNALÉTIQUE
315,REMPLACER - LUMIÈRE DE JOUR (Day running light)
316,VÉRIFIER - SABOTS
317,REMPLACER - BOYAUX
318,REMPLACER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE
319,REMPLACER - BATTERIE
320,REMPLACER - CYLINDRE DE FREIN
321,REMPLACER - DISQUES
322,AJUSTER - AJUSTEMENT D'USAGE
323,RÉPARER - FLÈCHE SIGNALÉTIQUE
324,REMPLACER - DISQUES
325,REMPLACER - TRANSMISSION HUILE (entretien) + FILTRE BOÎTE DE TRANSFERT,REMPLACER - CHASSIS PIÈCE CARROSSERIE
326,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
327,REMPLACER - DISQUES
328,REMPLACER - VANAIR
329,REMPLACER - FUITE HUILE
330,REMPLACER - MAÎTRE CYLINDRE,REMPLACER - FUITE HUILE
331,REMPLACER - TENSIONNEUR
332,RECHERCHER PANNE (diagnostic) - CODE DÉFAUT MOTEUR (Fault code)
333,REMPLACER - CODE DÉFAUT MOTEUR (Fault code)
334,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
335,REMPLACER - PNEU PNEU ROUE
336,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
337,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
338,REMPLACER - CODE DÉFAUT MOTEUR (Fault code)
339,REMPLACER - LUMIÈRE DE JOUR (Day running light)
340,REMPLACER - FILAGE ÉLECTRIQUE
341,MODIFIER - FABRIQUE SYSTÈME ÉLECTRIQUE
342,VÉRIFIER - FILAGE ÉLECTRIQUE
343,REMPLACER - BATTERIE
344,REMPLACER - ALTERNATEUR
345,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
346,REMPLACER - FILAGE ÉLECTRIQUE
347,REMPLACER - BATTERIE
348,REMPLACER - EMBOUT INTÉRIEUR
349,RÉPARER - BOYAUX
350,REMPLACER - PLAQUETTES,REMPLACER - FILAGE ÉLECTRIQUE
351,REMPLACER - FUITE HUILE,REMPLACER - TAMBOURS
352,REMPLACER - BATTERIE
353,RÉPARER - SABOTS
354,REMPLACER - ALTERNATEUR
355,REMPLACER - VENTILATEUR
356,REMPLACER - CODE DÉFAUT VANAIR (Fault code)
357,REMPLACER - ESSUIE-GLACE,REMPLACER - TENSIONNEUR
358,REMPLACER - ALTERNATEUR
359,INSTALLER - FABRIQUE SYSTÈME ÉLECTRIQUE
360,RÉPARER - CHASSIS PIÈCE CARROSSERIE
361,REMPLACER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - FABRIQUE SYSTÈME ÉLECTRIQUE
362,NETTOYER / LAVER - PNEU ESSIEUX ROUE
363,NETTOYER / LAVER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE
364,VÉRIFIER - BATTERIE
365,REMPLACER - DÉMARREUR,REMPLACER - CODE DÉFAUT VANAIR (Fault code)
366,REMPLACER - PNEU PNEU ROUE
367,AJUSTER - RÉGLEUR (Slack ajuster)
368,REMPLACER - JOINT ÉTANCHÉITÉ,RÉPARER - FUITE HUILE
369,REMPLACER - FILAGE ÉLECTRIQUE
370,REMPLACER - ALTERNATEUR
371,VÉRIFIER - CHAUFFAGE CONTRÔLE SYSTÈME DE CLIMATISATION
372,REMPLACER - TABLE DE SUSPENSION,RÉPARER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
373,REMPLACER - PNEU PNEU ROUE
374,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
375,REMPLACER - PNEU PNEU ROUE
376,RÉPARER - CHAUFFAGE CONTRÔLE SYSTÈME DE CLIMATISATION
377,AJUSTER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE,VÉRIFIER - MISE AU POINT (Tune -up)
378,REMPLACER - LUMIÈRE DE JOUR (Day running light),REMPLACER - FUITE HUILE
379,RÉPARER - TUYAUX ET BOYAUX
380,REMPLACER - PLAQUETTES
381,RECHERCHER PANNE (diagnostic) - VANAIR
382,VÉRIFIER - SABOTS
383,NETTOYER / LAVER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE
384,RÉPARER - BOULON ET GOUJON,NETTOYER / LAVER - SABOTS,REMPLACER - POMPE À SERVO-DIRECTION
385,RÉPARER - CODE DÉFAUT VANAIR (Fault code),RÉPARER - FILAGE ÉLECTRIQUE
386,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
387,SURVOLTER - BATTERIE
388,REMPLACER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - FABRIQUE SYSTÈME ÉLECTRIQUE
389,REMPLACER - BATTERIE,VÉRIFIER - ALTERNATEUR
390,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE
391,REMPLACER - PNEU PNEU ROUE
392,RÉPARER - GYROPHARE
393,AJUSTER - SABOTS,NETTOYER / LAVER - BATTERIE
394,RÉPARER - MOTEUR DE CHAUFFERETTE,RÉPARER - FILAGE ÉLECTRIQUE,AJUSTER - SABOTS
395,REMPLACER - PLAQUETTES,REMPLACER - PNEU PNEU ROUE
396,INSTALLER - PNEU PNEU ROUE,NETTOYER / LAVER - TRANSMISSION HUILE (entretien) + FILTRE BOÎTE DE TRANSFERT
397,VÉRIFIER - DÉMARREUR
398,REMPLACER - ÉTRIERS
